Sample.ID,latitude_north,longitude_east,site,crop,crop_group
S_0246,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
S_0247,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
S_0248,35.3,135.25,"aono,_ayabe,_KYOTO",Komatsuna,Vegetables
S_0249,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
S_0250,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
S_0251,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
S_0252,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
S_0253,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
S_0254,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
S_0255,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
S_0256,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
S_0257,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
S_0258,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
S_0259,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
S_0260,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
S_0261,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
S_0262,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
S_0263,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
S_0264,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
S_0269,35.015,135.5617,"amarube,_kameoka,_KYOTO",Spinach,Vegetables
S_0270,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
S_0271,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
S_0272,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
S_0305,35.2033,139.6314,Yokosuka,Cabbage,Vegetables
S_0306,35.2033,139.6314,Yokosuka,Cabbage,Vegetables
S_0313,39.5808,140.1969,Akita,Cabbage,Vegetables
S_0314,40.3083,141.3944,Karumai,Cabbage,Vegetables
S_0315,40.3083,141.3944,Karumai,Cabbage,Vegetables
S_0316,40.3083,141.3944,Karumai,Cabbage,Vegetables
S_0317,40.3083,141.3944,Karumai,Cabbage,Vegetables
S_0318,40.3083,141.3944,Karumai,Cabbage,Vegetables
S_0319,40.3083,141.3944,Karumai,Cabbage,Vegetables
S_0320,35.2033,139.6314,Yokosuka,Cabbage,Vegetables
S_0321,36.4925,138.4861,Tsumagoi,Cabbage,Vegetables
S_0322,36.4925,138.4861,Tsumagoi,Cabbage,Vegetables
S_0323,36.4925,138.4861,Tsumagoi,Cabbage,Vegetables
S_0324,39.5808,140.1969,Akita,Cabbage,Vegetables
S_0325,39.5808,140.1969,Akita,Cabbage,Vegetables
S_0326,39.5808,140.1969,Akita,Cabbage,Vegetables
S_0327,39.5808,140.1969,Akita,Cabbage,Vegetables
S_0328,39.5808,140.1969,Akita,Cabbage,Vegetables
S_0329,34.6689,136.4572,Tsu,Cabbage,Vegetables
S_0330,34.6689,136.4572,Tsu,Cabbage,Vegetables
S_0331,34.6689,136.4572,Tsu,Cabbage,Vegetables
S_0332,36.4925,138.4861,Tsumagoi,Cabbage,Vegetables
S_0333,36.4925,138.4861,Tsumagoi,Cabbage,Vegetables
S_0334,36.4925,138.4861,Tsumagoi,Cabbage,Vegetables
S_0335,36.4925,138.4861,Tsumagoi,Cabbage,Vegetables
S_0336,36.4925,138.4861,Tsumagoi,Cabbage,Vegetables
S_0337,35.2033,139.6314,Yokosuka,Cabbage,Vegetables
S_0338,35.2033,139.6314,Yokosuka,Cabbage,Vegetables
S_0339,35.2033,139.6314,Yokosuka,Cabbage,Vegetables
S_0340,34.6581,136.3786,Tsu,Cabbage,Vegetables
S_0341,34.6581,136.3786,Tsu,Cabbage,Vegetables
S_0342,34.6581,136.3786,Tsu,Cabbage,Vegetables
S_0343,34.6581,136.3786,Tsu,Cabbage,Vegetables
S_0344,34.6689,136.4572,Tsu,Cabbage,Vegetables
S_0351,36.0278,140.1003,"artificial_concrete_framed_field_(3-1-1_Kannondai,_Tsukuba,_Ibaraki)",Cabbage,Vegetables
S_0352,35.2033,139.6314,Yokosuka,Cabbage,Vegetables
S_0393,34.68,136.4172,Tsu,Cabbage,Vegetables
S_0394,34.68,136.4172,Tsu,Cabbage,Vegetables
S_0395,34.68,136.4172,Tsu,Cabbage,Vegetables
S_0396,36.5086,138.4808,Tsumagoi,Cabbage,Vegetables
S_0397,36.5086,138.4808,Tsumagoi,Cabbage,Vegetables
S_0398,36.5086,138.4808,Tsumagoi,Cabbage,Vegetables
S_0401,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
